Delivery Date,Hour Ending,day ahead price
2016-04-22,09:00:00,21.02
2016-04-22,10:00:00,21.40333333
2016-04-22,11:00:00,23.455
2016-04-22,12:00:00,24.675
2016-04-22,13:00:00,26.6975
2016-04-22,14:00:00,28.08916667
2016-04-22,15:00:00,32.83166667
2016-04-22,16:00:00,34.19
2016-04-22,17:00:00,30.15833333
2016-04-22,18:00:00,27.85916667
2016-04-22,19:00:00,24.27833333
2016-04-22,20:00:00,22.59166667
2016-04-22,21:00:00,20.97
2016-04-22,22:00:00,18.43083333
2016-04-22,23:00:00,16.28
2016-04-23,00:00:00,14.87416667
2016-04-23,01:00:00,12.9675
2016-04-23,02:00:00,11.495
2016-04-23,03:00:00,11.59333333
2016-04-23,04:00:00,12.78583333
2016-04-23,05:00:00,15.15916667
2016-04-23,06:00:00,18.6025
2016-04-23,07:00:00,19.15833333
2016-04-23,08:00:00,19.51166667
2016-04-23,09:00:00,19.70083333
2016-04-23,10:00:00,20.24583333
2016-04-23,11:00:00,21.91
2016-04-23,12:00:00,23.80166667
2016-04-23,13:00:00,26.2
2016-04-23,14:00:00,28.72833333
2016-04-23,15:00:00,35.00083333
2016-04-23,16:00:00,32.9375
2016-04-23,17:00:00,28.06833333
2016-04-23,18:00:00,26.64416667
2016-04-23,19:00:00,23.99666667
2016-04-23,20:00:00,21.5325
2016-04-23,21:00:00,20.13416667
2016-04-23,22:00:00,18.1825
2016-04-23,23:00:00,16.75333333
2016-04-24,00:00:00,14.70333333
2016-04-24,01:00:00,13.45916667
2016-04-24,02:00:00,12.66666667
2016-04-24,03:00:00,12.78666667
2016-04-24,04:00:00,13.69666667
2016-04-24,05:00:00,15.52833333
2016-04-24,06:00:00,17.08083333
2016-04-24,07:00:00,17.575
2016-04-24,08:00:00,19.00416667
2016-04-24,09:00:00,19.815
2016-04-24,10:00:00,21.7225
2016-04-24,11:00:00,22.57166667
2016-04-24,12:00:00,24.11416667
2016-04-24,13:00:00,26.04416667
2016-04-24,14:00:00,29.23166667
2016-04-24,15:00:00,32.77833333
2016-04-24,16:00:00,33.72166667
2016-04-24,17:00:00,27.6875
2016-04-24,18:00:00,27.60916667
2016-04-24,19:00:00,24.61083333
2016-04-24,20:00:00,21.79333333
2016-04-24,21:00:00,19.32833333
2016-04-24,22:00:00,17.33833333
2016-04-24,23:00:00,16.11166667
2016-04-25,00:00:00,13.75083333
2016-04-25,01:00:00,12.76666667
2016-04-25,02:00:00,12.35916667
2016-04-25,03:00:00,12.45666667
2016-04-25,04:00:00,13.115
2016-04-25,05:00:00,15.39083333
2016-04-25,06:00:00,18.96083333
2016-04-25,07:00:00,17.91083333
2016-04-25,08:00:00,18.8325
2016-04-25,09:00:00,19.82333333
2016-04-25,10:00:00,21.5175
2016-04-25,11:00:00,23.02
2016-04-25,12:00:00,25.07166667
2016-04-25,13:00:00,27.49916667
2016-04-25,14:00:00,29.36416667
2016-04-25,15:00:00,33.47916667
2016-04-25,16:00:00,33.3225
